Kudos Date,Kudos Type,Parent ID
"May 12, 2020, 6:26:14 PM",Activity,3440143137
"May 12, 2020, 6:26:25 PM",Activity,3440839015
"May 12, 2020, 6:26:27 PM",Activity,3439076736
"May 13, 2020, 1:54:56 AM",Activity,3442055817
"May 13, 2020, 1:55:00 AM",Activity,3442074428
"May 13, 2020, 1:55:03 AM",Activity,3441898519
"May 13, 2020, 1:55:07 AM",Activity,3441999790
"May 13, 2020, 11:10:38 PM",Activity,3447207787
"May 14, 2020, 2:11:53 PM",Activity,3449621169
"May 14, 2020, 11:21:18 PM",Activity,3452261143
"May 14, 2020, 11:21:23 PM",Activity,3452384947
"May 14, 2020, 11:21:27 PM",Activity,3451813689
"May 14, 2020, 11:21:29 PM",Activity,3450822592
"May 15, 2020, 12:08:51 AM",Activity,3452590237
"May 15, 2020, 12:09:58 AM",Activity,3452074732
"May 15, 2020, 11:45:08 AM",Activity,3452684797
"May 15, 2020, 3:39:43 PM",Activity,3454887523
"May 15, 2020, 4:47:53 PM",Activity,3455581867
"May 16, 2020, 3:39:52 PM",Activity,3460340509
"May 16, 2020, 3:40:09 PM",Activity,3460254725
"May 16, 2020, 3:40:18 PM",Activity,3460641934
"May 16, 2020, 3:45:01 PM",Activity,3460870381
"May 16, 2020, 4:49:56 PM",Activity,3461079782
"May 16, 2020, 6:16:20 PM",Activity,3461526484
"May 16, 2020, 7:52:30 PM",Activity,3462150298
"May 17, 2020, 12:39:13 AM",Activity,3462883095
"May 17, 2020, 12:39:48 AM",Activity,3462702459
"May 18, 2020, 12:47:43 AM",Activity,3469396274
"May 18, 2020, 11:38:12 AM",Activity,3470721352
"May 18, 2020, 6:00:07 PM",Activity,3472456696
"May 18, 2020, 6:00:12 PM",Activity,3471337749
"May 18, 2020, 6:00:16 PM",Activity,3472371162
"May 18, 2020, 10:57:38 PM",Activity,3474097159
"May 19, 2020, 6:24:01 PM",Activity,3477032951
"May 19, 2020, 6:24:16 PM",Activity,3478230547
"May 20, 2020, 1:18:30 AM",Activity,3479499182
"May 21, 2020, 1:03:22 AM",Activity,3485070130
"May 21, 2020, 1:04:05 AM",Activity,3485089721
"May 21, 2020, 7:41:41 PM",Activity,3489134876
"May 21, 2020, 7:41:53 PM",Activity,3489151944
"May 22, 2020, 3:38:56 PM",Activity,3493631114
"May 22, 2020, 3:38:59 PM",Activity,3493429074
"May 22, 2020, 4:10:29 PM",Activity,3493933462
"May 22, 2020, 5:41:06 PM",Activity,3494203848
"May 23, 2020, 7:47:51 PM",Activity,3498440744
"May 23, 2020, 7:48:03 PM",Activity,3498604694
"May 23, 2020, 7:48:07 PM",Activity,3498404152
"May 23, 2020, 7:48:07 PM",Activity,3498127843
"May 25, 2020, 12:20:34 PM",Activity,3506791452
"May 25, 2020, 12:20:42 PM",Activity,3504711849
"May 25, 2020, 12:20:52 PM",Activity,3504616130
"May 25, 2020, 12:21:06 PM",Activity,3501047843
"May 26, 2020, 2:48:41 AM",Activity,3512117109
"May 26, 2020, 2:48:43 AM",Activity,3511938339
"May 26, 2020, 2:48:53 AM",Activity,3510263888
"May 26, 2020, 2:48:58 AM",Activity,3511556388
"May 26, 2020, 2:49:22 AM",Activity,3509270123
"May 26, 2020, 6:57:32 PM",Activity,3515557705
"May 26, 2020, 6:57:36 PM",Activity,3515459068
"May 26, 2020, 6:57:40 PM",Activity,3515466635
"May 26, 2020, 10:12:49 PM",Activity,3517144418
"May 26, 2020, 10:13:13 PM",Activity,3516954105
"May 26, 2020, 11:56:27 PM",Activity,3517306290
"May 27, 2020, 8:38:59 AM",Activity,3517490876
"May 27, 2020, 12:11:57 PM",Activity,3519543329
"May 27, 2020, 9:20:10 PM",Activity,3520735310
"May 27, 2020, 11:42:48 PM",Activity,3522773919
"May 28, 2020, 12:21:50 PM",Activity,3525057182
"May 28, 2020, 6:03:41 PM",Activity,3526668171
"May 28, 2020, 6:28:26 PM",Activity,3526746213
"May 28, 2020, 11:50:47 PM",Activity,3528103574
"May 28, 2020, 11:51:07 PM",Activity,3527803905
